ID	BUILDING_NAME	FLOOR_NUMBER	ROOM_#	ROOM_TYPE
621	WESTERN DINING COMMONS	0	015	
622	WESTERN DINING COMMONS	1	103	
623	WESTERN DINING COMMONS	1	104	
624	WESTERN DINING COMMONS	1	119	Mens
625	WESTERN DINING COMMONS	1	120	Womens
626	WESTERN LODGE	1	102	Mens
627	WESTERN LODGE	1	104	Womens
628	WESTERN MAINTENANCE BUILDING	0	002	Mens
629	WESTERN MAINTENANCE BUILDING	0	003	Womens
630	WILLIAMS HALL	1	101	Womens
631	WILLIAMS HALL	1	103	Mens
632	WILLIAMS HALL	1	155	Womens
633	WILLIAMS HALL	1	157	Mens
634	WILLIAMS HALL	2	205	Womens
635	WILLIAMS HALL	2	209	Mens
636	WILLIAMS HALL	2	236	All Gender
637	WITHROW HALL	0	006C	All Gender
638	WITHROW HALL	0	006D	All Gender
639	WITHROW HALL	0	010A	Staff
640	WITHROW HALL	1	137	All Gender
641	WITHROW HALL	1	138	All Gender
642	YAGER STADIUM EAST	1	172	Mens
643	YAGER STADIUM EAST	1	173	Womens
644	YAGER STADIUM EAST	1	175	Mens
645	YAGER STADIUM EAST	1	176	Womens
646	YAGER STADIUM EAST	1	178	
647	YAGER STADIUM EAST	1	185	Mens
648	YAGER STADIUM EAST	1	186	Womens
649	YAGER STADIUM EAST	1	189	
650	YAGER STADIUM EAST	1	191	Womens
651	YAGER STADIUM EAST	1	194	Womens
652	YAGER STADIUM WEST	1	101	Womens
653	YAGER STADIUM WEST	1	103	Mens
654	YAGER STADIUM WEST	1	155	Mens
655	YAGER STADIUM WEST	1	157	Womens
656	YAGER STADIUM WEST	2	210A	Mens
657	YAGER STADIUM WEST	2	258A	Womens
658	YAGER STADIUM WEST	4	423	Womens
659	YAGER STADIUM WEST	4	425	Mens
